tag,yr,questions,answers_per_question,approved_rate,apq_yoy_delta,approved_yoy_delta
dbt,2020,31,1.3871,0.4194,,
dbt,2021,58,1.1379,0.2586,-0.2492,-0.1607
dbt,2022,79,1.0633,0.2785,-0.0746,0.0199
python,2013,7819,2.3108,0.6517,,
python,2014,8537,1.967,0.6146,-0.3438,-0.0371
python,2015,9781,1.8998,0.569,-0.0672,-0.0457
python,2016,10344,1.8339,0.5252,-0.0659,-0.0437
python,2017,11683,1.6991,0.4913,-0.1348,-0.0339
python,2018,11614,1.6922,0.492,-0.007,7.0E-4
python,2019,14503,1.7035,0.4881,0.0113,-0.0039
python,2020,16256,1.6496,0.455,-0.0539,-0.0331
python,2021,15811,1.5215,0.4301,-0.1281,-0.0248
python,2022,12809,1.2582,0.354,-0.2634,-0.0761
